time(ms),angle_x(deg),angle_y(deg),angle_z(deg),acc_x(g),acc_y(g),acc_z(g),motor_pos
67,-0.82,-3.86,-122.87,-0.0144,-0.0671,-0.9964,-1
130,-0.82,-3.86,-122.87,-0.0144,-0.0671,-0.9962,1
194,-0.82,-3.86,-122.87,-0.0143,-0.0672,-0.996,-1
258,-0.82,-3.86,-122.87,-0.0144,-0.0672,-0.9963,0
322,-0.82,-3.86,-122.87,-0.0145,-0.0671,-0.9963,0
386,-0.82,-3.86,-122.87,-0.0145,-0.0671,-0.9962,-1
450,-0.83,-3.86,-122.87,-0.0142,-0.0672,-0.9961,1
514,-0.82,-3.86,-122.87,-0.0142,-0.0671,-0.9962,-1
578,-0.82,-3.86,-122.87,-0.0145,-0.0673,-0.9965,-1
642,-0.83,-3.86,-122.87,-0.0144,-0.0674,-0.9964,1
705,-0.82,-3.86,-122.87,-0.0142,-0.0672,-0.9963,-1
769,-0.82,-3.86,-122.87,-0.0142,-0.0671,-0.9963,1
833,-0.82,-3.86,-122.87,-0.0143,-0.0672,-0.9963,0
897,-0.82,-3.86,-122.87,-0.014,-0.0671,-0.9963,-1
961,-0.82,-3.86,-122.87,-0.0142,-0.0672,-0.9965,1
1025,-0.82,-3.86,-122.87,-0.0146,-0.0672,-0.9967,-1
1089,-0.82,-3.86,-122.87,-0.0145,-0.0672,-0.9965,1
1153,-0.82,-3.86,-122.87,-0.0142,-0.0671,-0.9962,0
1217,-0.82,-3.86,-122.87,-0.0141,-0.0672,-0.9964,-1
1281,-0.82,-3.86,-122.87,-0.0143,-0.0672,-0.9964,1
1345,-0.82,-3.86,-122.87,-0.0145,-0.0672,-0.9963,-1
1409,-0.82,-3.86,-122.87,-0.0142,-0.0672,-0.9964,0
1472,-0.82,-3.86,-122.87,-0.0142,-0.0672,-0.9963,0
1536,-0.82,-3.86,-122.87,-0.0144,-0.0673,-0.9963,-1
1600,-0.82,-3.86,-122.87,-0.0143,-0.0673,-0.9963,1
1664,-0.82,-3.86,-122.87,-0.0142,-0.0671,-0.9962,-1
1728,-0.82,-3.86,-122.87,-0.0142,-0.0672,-0.9962,0
1792,-0.82,-3.86,-122.87,-0.0143,-0.0672,-0.9962,1
1856,-0.82,-3.86,-122.87,-0.0145,-0.0671,-0.9965,-1
1920,-0.82,-3.86,-122.87,-0.0143,-0.0672,-0.9966,1
1984,-0.82,-3.86,-122.87,-0.0141,-0.0672,-0.9964,-1
2048,-0.82,-3.86,-122.87,-0.0143,-0.0671,-0.9964,-1
2112,-0.82,-3.86,-122.87,-0.0143,-0.0673,-0.9963,1
2175,-0.82,-3.86,-122.87,-0.0143,-0.0672,-0.9963,-1
2239,-0.82,-3.86,-122.87,-0.0143,-0.0672,-0.9963,1
2303,-0.82,-3.86,-122.87,-0.0144,-0.0673,-0.9963,0
2367,-0.82,-3.86,-122.87,-0.0143,-0.0672,-0.9962,-1
2431,-0.82,-3.86,-122.87,-0.0141,-0.0671,-0.9961,1
2495,-0.82,-3.86,-122.87,-0.0141,-0.0671,-0.9963,-1
2559,-0.82,-3.86,-122.87,-0.0142,-0.0671,-0.9965,0
2623,-0.82,-3.86,-122.87,-0.0144,-0.0672,-0.9964,0
2687,-0.82,-3.86,-122.87,-0.0142,-0.0672,-0.9962,-1
2751,-0.82,-3.86,-122.87,-0.0141,-0.0672,-0.9962,1
2815,-0.81,-3.86,-122.87,-0.0143,-0.0673,-0.9963,-1
2879,-0.82,-3.86,-122.87,-0.0144,-0.0673,-0.9965,0
2942,-0.82,-3.86,-122.87,-0.0143,-0.0672,-0.9968,0
3006,-0.82,-3.86,-122.87,-0.0143,-0.0673,-0.9966,-1
3070,-0.82,-3.86,-122.87,-0.0144,-0.0672,-0.9964,1
3134,-0.82,-3.86,-122.87,-0.0144,-0.0672,-0.9964,-1
3198,-0.82,-3.86,-122.87,-0.0141,-0.0672,-0.9965,0
3262,-0.82,-3.86,-122.87,-0.014,-0.0671,-0.9964,1
3326,-0.82,-3.86,-122.87,-0.0144,-0.0672,-0.9962,26
3390,-0.83,-3.86,-122.87,-0.0182,-0.0671,-0.9964,583
3454,-0.9,-3.86,-122.87,-0.0276,-0.067,-0.9966,1893
3518,-1.04,-3.85,-122.87,-0.0328,-0.067,-0.9965,4029
3582,-1.19,-3.85,-122.87,-0.0331,-0.067,-0.9964,6981
3646,-1.35,-3.85,-122.87,-0.034,-0.0671,-0.9965,10691
3710,-1.51,-3.85,-122.87,-0.0351,-0.0671,-0.9966,15247
3773,-1.68,-3.85,-122.87,-0.0354,-0.067,-0.9965,20651
3837,-1.84,-3.85,-122.87,-0.0349,-0.0672,-0.9965,26828
3901,-1.94,-3.85,-122.87,-0.0342,-0.0672,-0.9966,33852
3965,-1.96,-3.85,-122.87,-0.0339,-0.0672,-0.9966,41667
4029,-1.97,-3.85,-122.87,-0.0349,-0.0672,-0.9965,50332
4093,-1.99,-3.85,-122.87,-0.0349,-0.0671,-0.9962,59815
4157,-1.99,-3.85,-122.87,-0.0338,-0.0671,-0.9958,70098
4221,-1.98,-3.85,-122.87,-0.0341,-0.0671,-0.996,81191
4285,-1.97,-3.85,-122.87,-0.0337,-0.0671,-0.9964,93092
4348,-1.97,-3.85,-122.87,-0.0358,-0.0671,-0.9966,105798
4412,-1.99,-3.85,-122.87,-0.0368,-0.0671,-0.9966,119378
4476,-2,-3.85,-122.87,-0.0355,-0.0671,-0.9966,133722
4540,-2.01,-3.85,-122.87,-0.0363,-0.0671,-0.9965,148961
